cokey,chkey,hzname,hzdept_r,hzdepb_r,om_l,om_r,om_h,cec7_l,cec7_r,cec7_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,awc_r,ksat_r,dbthirdbar_r,mukey,compname,comppct_r,drainagecl,taxorder,taxgrtgroup,musym,muname,sand_pct,silt_pct,clay_pct
26819550,80053001,Ap,0,20,2.0,3.0,4.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542761,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfB,"Hollinger silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819556,80053020,Ap,0,20,2.0,3.0,4.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542762,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfC,"Hollinger silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819566,80053056,Ap,0,20,1.0,2.0,3.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542763,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfD,"Hollinger silt loam, 15 to 25 percent slopes",30.1,54.9,15.0
26819570,80053072,Ap,0,18,2.0,3.5,5.0,8.2,11.5,14.8,5.6,6.5,7.3,0.22,9.17,1.3,542764,Holly,94,Poorly drained,Inceptisols,Endoaquepts,Hg,Holly silt loam,26.3,52.7,21.0
26819746,80053700,Ap,0,20,2.0,3.0,4.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542765,Lansdale,92,Well drained,Ultisols,Hapludults,LaB,"Lansdale loam, 3 to 8 percent slopes",45.7,41.8,12.5
26819748,80053707,Ap,0,20,2.0,3.0,4.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542766,Lansdale,92,Well drained,Ultisols,Hapludults,LaC,"Lansdale loam, 8 to 15 percent slopes",45.7,41.8,12.5
26819750,80053715,Ap,0,20,1.5,2.25,3.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542767,Lansdale,92,Well drained,Ultisols,Hapludults,LaD,"Lansdale loam, 15 to 25 percent slopes",45.7,41.8,12.5
26819752,80053723,Ap,0,18,2.0,2.5,3.0,9.1,13.3,17.3,5.1,6.2,7.3,0.19,9.17,1.3,542768,Lehigh,80,Moderately well drained,Alfisols,Hapludalfs,LbB,"Lehigh silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819756,80053741,Ap,0,18,2.0,2.5,3.0,9.1,13.3,17.3,5.1,6.2,7.3,0.19,9.17,1.3,542769,Lehigh,85,Moderately well drained,Alfisols,Hapludalfs,LbC,"Lehigh silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819760,80053754,Ap,0,23,2.0,2.5,3.0,7.5,11.0,14.5,4.5,5.9,7.3,0.18,9.17,1.3,542770,Letort,90,Well drained,Alfisols,Hapludalfs,LdA,"Letort silt loam, 0 to 3 percent slopes",26.5,53.5,20.0
26819763,80053767,Ap,0,23,2.0,2.5,3.0,7.5,11.0,14.5,4.5,5.9,7.3,0.18,9.17,1.3,542771,Letort,90,Well drained,Alfisols,Hapludalfs,LdB,"Letort silt loam, 3 to 8 percent slopes",26.5,53.5,20.0
26819770,80053790,Ap,0,23,2.0,2.5,3.0,7.5,11.0,14.5,4.5,5.9,7.3,0.18,9.17,1.3,542772,Letort,90,Well drained,Alfisols,Hapludalfs,LdC,"Letort silt loam, 8 to 15 percent slopes",26.5,53.5,20.0
26819578,80053093,H1,0,23,1.0,2.5,4.0,12.0,19.0,26.0,5.4,6.1,6.9,0.16,28.23,1.3,542773,Linden,97,Well drained,Inceptisols,Dystrudepts,Lg,Linden silt loam,44.8,41.2,14.0
26819580,80053098,Ap,0,25,2.0,3.5,5.0,9.0,12.9,16.8,5.1,6.5,7.8,0.23,9.17,1.3,542774,Lindside,85,Moderately well drained,Inceptisols,Eutrudepts,Ln,Lindside silt loam,11.3,67.7,21.0
26819586,80053116,Ap,0,25,2.0,3.0,4.0,5.5,10.0,14.5,4.5,5.3,6.0,0.19,9.17,1.3,542775,Manor,90,Well drained,Inceptisols,Dystrudepts,MaB,"Manor silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819591,80053136,Ap,0,25,2.0,3.0,4.0,5.5,10.0,14.5,4.5,5.3,6.0,0.19,9.17,1.3,542776,Manor,90,Well drained,Inceptisols,Dystrudepts,MaC,"Manor silt loam, 8 to 15 percent slopes",29.1,53.4,17.5
26819594,80053146,Ap,0,25,1.5,2.5,3.5,5.5,10.0,14.5,4.5,5.3,6.0,0.19,9.17,1.3,542777,Manor,90,Well drained,Inceptisols,Dystrudepts,MaD,"Manor silt loam, 15 to 25 percent slopes",29.1,53.4,17.5
26819598,80053161,A,0,25,3.0,4.0,5.0,4.0,7.0,10.0,4.5,5.3,6.0,0.16,9.17,1.33,542778,Manor,90,Well drained,Inceptisols,Dystrudepts,MbB,"Manor very stony silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819603,80053179,A,0,25,3.0,4.0,5.0,,,,4.5,5.3,6.0,0.16,9.17,1.33,542779,Manor,90,Well drained,Inceptisols,Dystrudepts,MbD,"Manor very stony silt loam, 8 to 25 percent slopes",29.1,53.4,17.5
26819605,80053185,A,0,25,2.0,3.0,4.0,4.0,7.0,10.0,4.5,5.3,6.0,0.16,9.17,1.33,542780,Manor,90,Well drained,Inceptisols,Dystrudepts,MbF,"Manor very stony silt loam, 25 to 60 percent slopes",29.1,53.4,17.5
26819889,80054287,Ap,0,16,1.0,1.5,2.0,8.9,16.1,20.8,5.8,6.0,6.5,0.18,9.0,1.49,542781,Mount Lucas,90,Moderately well drained,Alfisols,Hapludalfs,MdB,"Mount Lucas silt loam, 3 to 8 percent slopes",23.0,58.0,19.0
26819612,80053210,A,0,15,3.0,3.5,4.0,4.0,6.0,8.0,5.1,5.8,6.5,0.19,9.17,1.25,542782,Mount Lucas,90,Moderately well drained,Alfisols,Hapludalfs,MeB,"Mount Lucas very stony silt loam, 3 to 12 percent slopes",30.1,54.9,15.0
26819880,80053988,H1,0,41,1.0,2.5,4.0,3.8,9.3,14.7,5.6,6.7,7.8,0.19,9.17,1.3,542783,Newark,85,Somewhat poorly drained,Inceptisols,Endoaquepts,Nc,Newark silt loam,13.7,69.3,17.0
26819616,80053221,Ap,0,41,2.0,3.0,4.0,4.3,10.6,16.8,5.6,6.7,7.8,0.19,9.17,1.3,542784,Newark,85,Somewhat poorly drained,Inceptisols,Endoaquepts,Nd,"Newark silt loam, schist substratum",13.7,69.3,17.0
26819618,80053227,H1,0,38,2.0,3.0,4.0,6.0,13.0,20.0,6.1,7.3,8.4,0.21,9.17,1.3,542785,Nolin,85,Well drained,Inceptisols,Eutrudepts,Ne,Nolin silt loam,7.0,69.5,23.5
26819884,80053989,H1,0,25,2.0,3.0,4.0,12.0,16.0,20.0,5.6,6.5,7.3,0.18,9.17,1.25,542786,Penlaw,80,Somewhat poorly drained,Alfisols,Fragiudalfs,Pa,Penlaw silt loam,11.4,68.6,20.0
26819776,80053812,Ap,0,25,2.0,3.0,4.0,5.5,9.0,12.5,6.1,6.7,7.3,0.15,23.29,1.25,542787,Pequea,90,Well drained,Inceptisols,Eutrudepts,PeC,"Pequea silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819780,80053826,Ap,0,25,1.5,2.5,3.5,5.5,9.0,12.5,6.1,6.7,7.3,0.15,23.29,1.25,542788,Pequea,90,Well drained,Inceptisols,Eutrudepts,PeD,"Pequea silt loam, 15 to 25 percent slopes",30.1,54.9,15.0
26819782,80053833,Ap,0,25,1.5,2.25,3.0,5.5,9.0,12.5,6.1,6.7,7.3,0.15,23.29,1.25,542789,Pequea,90,Well drained,Inceptisols,Eutrudepts,PeE,"Pequea silt loam, 25 to 50 percent slopes",30.1,54.9,15.0
26819856,80054142,Ap,0,25,1.0,2.0,3.0,5.4,9.5,12.0,5.4,6.1,6.9,0.2,9.17,1.47,542791,Readington,85,Moderately well drained,Alfisols,Fragiudalfs,RaB,"Readington silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819786,80053841,Ap,0,23,2.0,2.5,3.0,7.5,10.0,12.5,4.2,5.4,6.6,0.16,9.17,1.3,542792,Readington,90,Moderately well drained,Alfisols,Fragiudalfs,RbB,"Readington extremely stony silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819795,80053879,Ap,0,23,2.0,3.0,4.0,7.0,10.5,14.0,4.5,5.3,6.0,0.16,7.76,1.2,542793,Rowland,90,Moderately well drained,Inceptisols,Dystrochrepts,Rd,Rowland silt loam,30.1,54.9,15.0
26819796,80053883,H1,0,28,1.0,1.5,2.0,,,,3.6,4.6,5.5,0.14,9.17,1.3,542794,Ungers,85,Well drained,Ultisols,Hapludults,UaB,"Ungers loam, 3 to 8 percent slopes",44.3,40.7,15.0
26819622,80053241,H1,0,23,1.0,1.5,2.0,,,,4.2,5.4,6.6,0.14,9.17,1.3,542795,Ungers,85,Well drained,Ultisols,Hapludults,UaC,"Ungers loam, 8 to 15 percent slopes",44.3,40.7,15.0
26819627,80053260,H1,0,23,1.0,1.5,2.0,,,,4.2,5.4,6.6,0.14,9.17,1.3,542796,Ungers,85,Well drained,Ultisols,Hapludults,UaD,"Ungers loam, 15 to 25 percent slopes",44.3,40.7,15.0
26819630,80053273,H1,0,8,1.0,1.5,2.0,,,,4.2,5.4,6.6,0.13,9.17,1.3,542797,Ungers,85,Well drained,Ultisols,Hapludults,UbB,"Ungers extremely stony loam, 3 to 8 percent slopes",44.3,40.7,15.0
26819630,80053274,H2,8,102,0.0,0.25,0.5,,,,3.6,4.6,5.5,0.12,9.17,1.4,542797,Ungers,85,Well drained,Ultisols,Hapludults,UbB,"Ungers extremely stony loam, 3 to 8 percent slopes",44.3,40.7,15.0
