"Loam"||"162489811"|"165257186"
"Silt loam"||"162489812"|"165257187"
"Silt loam"||"162489813"|"165257188"
"Silt loam"||"162489814"|"165257189"
"Loam"||"162489815"|"165257190"
"Silty clay loam"||"162489816"|"165257191"
"Silt loam"||"162489817"|"165257192"
"Silty clay loam"||"162489818"|"165257193"
"Loam"||"162489819"|"165257194"
"Silt loam"||"162489820"|"165257195"
"Loam"||"162489821"|"165257196"
"Silt loam"||"162489822"|"165257197"
"Silty clay loam"||"162489823"|"165257198"
"Silt loam"||"162489824"|"165257199"
|"Bedrock"|"162489825"|"165257200"
"Loam"||"162489826"|"165257201"
"Silt loam"||"162489827"|"165257202"
"Loam"||"162489828"|"165257203"
"Silt loam"||"162489829"|"165257204"
|"Bedrock"|"162489830"|"165257205"
"Silt loam"||"162489831"|"165257206"
"Loam"||"162489832"|"165257207"
"Silt loam"||"162489833"|"165257208"
"Loam"||"162489834"|"165257209"
"Silt loam"||"162489835"|"165257210"
|"Bedrock"|"162489836"|"165257211"
"Loam"||"162489837"|"165257212"
"Silt loam"||"162489838"|"165257213"
"Loam"||"162489839"|"165257214"
"Silt loam"||"162489840"|"165257215"
"Loam"||"162489841"|"165257216"
"Silty clay loam"||"162489842"|"165257217"
|"Bedrock"|"162489843"|"165257218"
"Loam"||"162489844"|"165257219"
"Sandy loam"||"162489845"|"165257220"
"Loam"||"162489846"|"165257221"
"Loam"||"162489847"|"165257222"
"Clay loam"||"162489848"|"165257223"
"Sandy clay loam"||"162489849"|"165257224"
"Silt loam"||"162489850"|"165257225"
"Silty clay loam"||"162489851"|"165257226"
"Loam"||"162489852"|"165257227"
"Silt loam"||"162489853"|"165257228"
"Silty clay loam"||"162489854"|"165257229"
"Loam"||"162489855"|"165257230"
"Silt loam"||"162489856"|"165257231"
"Loam"||"162489857"|"165257232"
"Silt loam"||"162489858"|"165257233"
"Silty clay loam"||"162489859"|"165257234"
|"Bedrock"|"162489860"|"165257235"
"Loam"||"162489861"|"165257236"
"Loam"||"162489862"|"165257237"
"Silt loam"||"162489863"|"165257238"
"Silt loam"||"162489864"|"165257239"
"Silt loam"||"162489865"|"165257240"
"Silty clay loam"||"162489866"|"165257241"
"Loam"||"162489867"|"165257242"
"Silty clay loam"||"162489868"|"165257243"
"Silt loam"||"162489869"|"165257244"
"Silt loam"||"162489870"|"165257245"
"Silty clay loam"||"162489871"|"165257246"
"Silt loam"||"162489872"|"165257247"
"Silty clay loam"||"162489873"|"165257248"
"Loam"||"162489874"|"165257249"
"Silt loam"||"162489875"|"165257250"
|"Bedrock"|"162489876"|"165257251"
"Silt loam"||"162489877"|"165257252"
"Sand"||"162489878"|"165257253"
|"Gravel"|"162489878"|"165257254"
"Silt loam"||"162489879"|"165257255"
"Silty clay loam"||"162489880"|"165257256"
"Sandy clay loam"||"162489881"|"165257257"
"Silty clay loam"||"162489882"|"165257258"
"Fine sandy loam"||"162489883"|"165257259"
"Silt loam"||"162489884"|"165257260"
"Silt loam"||"162489885"|"165257261"
"Loam"||"162489886"|"165257262"
"Sandy clay loam"||"162489887"|"165257263"
"Silty clay loam"||"162489888"|"165257264"
"Sandy clay"||"162489889"|"165257265"
"Silt loam"||"162489890"|"165257266"
"Silty clay loam"||"162489891"|"165257267"
"Sand"||"162489892"|"165257268"
|"Gravel"|"162489892"|"165257269"
"Silt loam"||"162489893"|"165257270"
|"Bedrock"|"162491448"|"165258833"
"Silt loam"||"162491449"|"165258834"
"Silt loam"||"162491450"|"165258835"
"Clay loam"||"162491451"|"165258836"
"Silt loam"||"162491452"|"165258837"
"Silt loam"||"162491453"|"165258838"
"Loam"||"162491454"|"165258839"
"Clay loam"||"162491455"|"165258840"
"Loam"||"162491456"|"165258841"
"Loam"||"162491457"|"165258842"
"Clay loam"||"162491458"|"165258843"
"Sandy clay loam"||"162491459"|"165258844"
|"Bedrock"|"162491460"|"165258845"
"Loam"||"162491461"|"165258846"
"Sandy loam"||"162491462"|"165258847"
"Clay loam"||"162491463"|"165258848"
"Loam"||"162491464"|"165258849"
"Loamy sand"||"162491465"|"165258850"
"Silt loam"||"162491466"|"165258851"
"Silty clay loam"||"162491467"|"165258852"
"Sandy clay loam"||"162491468"|"165258853"
"Silt loam"||"162491469"|"165258854"
|"Unweathered bedrock"|"162491470"|"165258855"
"Silt loam"||"162491471"|"165258856"
"Silt loam"||"162491472"|"165258857"
"Silty clay loam"||"162491473"|"165258858"
"Silty clay loam"||"162491474"|"165258859"
"Silt loam"||"162491475"|"165258860"
"Silt loam"||"162491476"|"165258861"
|"Bedrock"|"162491477"|"165258862"
"Silt loam"||"162491478"|"165258863"
"Silt loam"||"162491479"|"165258864"
"Silty clay loam"||"162491480"|"165258865"
"Silt loam"||"162491481"|"165258866"
"Silty clay loam"||"162491482"|"165258867"
"Loam"||"162491483"|"165258868"
"Loam"||"162491484"|"165258869"
"Sandy loam"||"162491485"|"165258870"
"Loam"||"162491486"|"165258871"
"Loam"||"162491487"|"165258872"
"Clay loam"||"162491488"|"165258873"
"Sandy clay loam"||"162491489"|"165258874"
|"Bedrock"|"162491490"|"165258875"
|"Unweathered bedrock"|"162491491"|"165258876"
"Silt loam"||"162491492"|"165258877"
"Silt loam"||"162491493"|"165258878"
"Silty clay loam"||"162491494"|"165258879"
"Silty clay loam"||"162491495"|"165258880"
"Silt loam"||"162491496"|"165258881"
"Silt loam"||"162491497"|"165258882"
"Silt loam"||"162491498"|"165258883"
"Silty clay loam"||"162491499"|"165258884"
"Silt loam"||"162491500"|"165258885"
"Silty clay loam"||"162491501"|"165258886"
"Loam"||"162491502"|"165258887"
"Silt loam"||"162491503"|"165258888"
|"Bedrock"|"162491504"|"165258889"
"Silt loam"||"162491505"|"165258890"
"Loam"||"162491506"|"165258891"
"Clay loam"||"162491507"|"165258892"
|"Bedrock"|"162491508"|"165258893"
"Silt loam"||"162491509"|"165258894"
"Silt loam"||"162491510"|"165258895"
"Clay loam"||"162491511"|"165258896"
"Silt loam"||"162491512"|"165258897"
"Silt loam"||"162491513"|"165258898"
"Silty clay loam"||"162491514"|"165258899"
"Sandy clay loam"||"162491515"|"165258900"
"Silt loam"||"162491516"|"165258901"
"Clay loam"||"162491517"|"165258902"
"Loam"||"162491518"|"165258903"
"Loamy sand"||"162491519"|"165258904"
"Silt loam"||"162491520"|"165258905"
"Silt loam"||"162491521"|"165258906"
"Silty clay loam"||"162491522"|"165258907"
"Silt loam"||"162491523"|"165258908"
"Silty clay loam"||"162491524"|"165258909"
"Loam"||"162491525"|"165258910"
"Silt loam"||"162491526"|"165258911"
|"Bedrock"|"162491527"|"165258912"
"Clay loam"||"162491528"|"165258913"
"Loam"||"162491529"|"165258914"
"Loamy sand"||"162491530"|"165258915"
"Silt loam"||"162491531"|"165258916"
"Silty clay loam"||"162491532"|"165258917"
"Sandy clay loam"||"162491533"|"165258918"
"Silt loam"||"162491534"|"165258919"
|"Bedrock"|"162491535"|"165258920"
"Silt loam"||"162491536"|"165258921"
"Silt loam"||"162491537"|"165258922"
"Clay loam"||"162491538"|"165258923"
"Silt loam"||"162491539"|"165258924"
"Silt loam"||"162491540"|"165258925"
