|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819849"|"138873641"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819849"|"138873723"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819849"|"138873819"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819849"|"138873850"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819729"|"138873164"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819729"|"138873301"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819729"|"138873310"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819729"|"138873318"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819729"|"138873336"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819729"|"138873391"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819729"|"138873509"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819729"|"138873689"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819729"|"138873699"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819729"|"138873764"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819730"|"138873142"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819730"|"138873222"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819730"|"138873259"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819730"|"138873484"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819730"|"138873547"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819730"|"138873599"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819730"|"138873651"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819730"|"138873733"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819730"|"138873800"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819730"|"138873860"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819731"|"138873143"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819731"|"138873223"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819731"|"138873260"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819731"|"138873485"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819731"|"138873548"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819731"|"138873600"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819731"|"138873652"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819731"|"138873734"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819731"|"138873801"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819731"|"138873861"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819732"|"138873165"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819732"|"138873302"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819732"|"138873311"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819732"|"138873319"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819732"|"138873337"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819732"|"138873392"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819732"|"138873510"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819732"|"138873690"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819732"|"138873700"
