||"Tread"||"43194980"|"17088016"
|"Side Slope"|||"43194978"|"17088014"
|"Side Slope"|||"43194979"|"17088015"
|"Side Slope"|||"43194976"|"17088012"
|"Side Slope"|||"43194977"|"17088013"
||"Tread"||"43194975"|"17088011"
|"Side Slope"|||"43194973"|"17088009"
|"Side Slope"|||"43194974"|"17088010"
|"Side Slope"|||"43194972"|"17088008"
|"Side Slope"|||"43194971"|"17088007"
|"Nose Slope"|||"43194970"|"17088005"
|"Side Slope"|||"43194970"|"17088006"
|"Interfluve"|||"43194969"|"17088002"
|"Nose Slope"|||"43194969"|"17088004"
|"Side Slope"|||"43194969"|"17088003"
|"Side Slope"|||"43194968"|"17088001"
|"Interfluve"|||"43194967"|"17087999"
|"Side Slope"|||"43194967"|"17088000"
|"Interfluve"|||"43194966"|"17087998"
|"Base Slope"|||"43194965"|"17087997"
|"Nose Slope"|||"43194964"|"17087995"
|"Side Slope"|||"43194964"|"17087996"
|"Side Slope"|||"43194963"|"17087994"
|"Side Slope"|||"43194962"|"17087993"
|"Interfluve"|||"43194961"|"17087991"
|"Side Slope"|||"43194961"|"17087992"
|"Interfluve"|||"43194960"|"17087990"
|"Side Slope"|||"43194959"|"17087989"
|"Base Slope"|||"43194958"|"17087988"
|"Nose Slope"|||"43194957"|"17087986"
|"Side Slope"|||"43194957"|"17087987"
|"Side Slope"|||"43194956"|"17087985"
|"Interfluve"|||"43194955"|"17087984"
|"Side Slope"|||"43194954"|"17087983"
|"Nose Slope"|||"43194953"|"17087982"
|"Side Slope"|||"43194953"|"17087981"
|"Base Slope"|||"43194952"|"17087980"
|"Interfluve"|||"43194951"|"17087978"
|"Side Slope"|||"43194951"|"17087979"
|"Base Slope"|||"43194950"|"17087977"
||"Tread"||"43194949"|"17087976"
|"Base Slope"|||"43194948"|"17087975"
|"Base Slope"|||"43194947"|"17087974"
|"Interfluve"|||"43195216"|"17088371"
|"Base Slope"|||"43195216"|"17088370"
|"Side Slope"|||"43195215"|"17088369"
|"Interfluve"|||"43195214"|"17088368"
|"Base Slope"|||"43195214"|"17088367"
|"Side Slope"|||"43195213"|"17088366"
|"Interfluve"|||"43195212"|"17088365"
|"Base Slope"|||"43195212"|"17088364"
|"Side Slope"|||"43195211"|"17088363"
|"Interfluve"|||"43195210"|"17088361"
|"Side Slope"|||"43195210"|"17088362"
|"Interfluve"|||"43195209"|"17088360"
|"Side Slope"|||"43195209"|"17088359"
|"Side Slope"|||"43195208"|"17088358"
|"Base Slope"|||"43195207"|"17088357"
|"Base Slope"|||"43195206"|"17088356"
|"Interfluve"|||"43195205"|"17088354"
|"Side Slope"|||"43195205"|"17088355"
|"Interfluve"|||"43195204"|"17088353"
|"Side Slope"|||"43195204"|"17088352"
|"Side Slope"|||"43195203"|"17088351"
|"Side Slope"|||"43195202"|"17088350"
|"Nose Slope"|||"43195201"|"17088348"
|"Side Slope"|||"43195201"|"17088349"
|"Side Slope"|||"43195200"|"17088347"
|"Nose Slope"|||"43195199"|"17088345"
|"Side Slope"|||"43195199"|"17088346"
|"Side Slope"|||"43195198"|"17088344"
|"Side Slope"|||"43195197"|"17088343"
|"Side Slope"|||"43195196"|"17088342"
|"Nose Slope"|||"43195195"|"17088340"
|"Side Slope"|||"43195195"|"17088341"
|"Side Slope"|||"43195194"|"17088339"
|"Base Slope"|||"43194938"|"17087966"
|"Head Slope"|||"43194935"|"17087960"
|"Side Slope"|||"43194935"|"17087961"
|"Head Slope"|||"43194936"|"17087962"
|"Side Slope"|||"43194936"|"17087963"
|"Head Slope"|||"43194937"|"17087964"
|"Side Slope"|||"43194937"|"17087965"
|"Base Slope"|||"43194934"|"17087959"
|"Head Slope"|||"43194932"|"17087956"
|"Side Slope"|||"43194932"|"17087955"
|"Head Slope"|||"43194933"|"17087958"
|"Side Slope"|||"43194933"|"17087957"
||"Riser"||"43194930"|"17087953"
|"Base Slope"|||"43194931"|"17087954"
||"Tread"||"43194929"|"17087952"
|"Interfluve"|||"43194928"|"17087950"
|"Side Slope"|||"43194928"|"17087951"
|"Nose Slope"|||"43194927"|"17087949"
|"Side Slope"|||"43194927"|"17087948"
|"Head Slope"|||"43194926"|"17087947"
|"Side Slope"|||"43194926"|"17087946"
|"Interfluve"|||"43194925"|"17087943"
|"Nose Slope"|||"43194925"|"17087945"
|"Side Slope"|||"43194925"|"17087944"
|"Head Slope"|||"43194924"|"17087942"
|"Side Slope"|||"43194924"|"17087941"
|"Nose Slope"|||"43194923"|"17087940"
|"Side Slope"|||"43194923"|"17087939"
|"Nose Slope"|||"43194922"|"17087938"
|"Side Slope"|||"43194922"|"17087937"
|"Nose Slope"|||"43194921"|"17087936"
|"Side Slope"|||"43194921"|"17087935"
|"Nose Slope"|||"43194920"|"17087934"
|"Side Slope"|||"43194920"|"17087933"
|"Nose Slope"|||"43194919"|"17087932"
|"Side Slope"|||"43194919"|"17087931"
|"Nose Slope"|||"43194918"|"17087930"
|"Side Slope"|||"43194918"|"17087929"
|"Head Slope"|||"43194917"|"17087928"
|"Side Slope"|||"43194917"|"17087927"
|"Interfluve"|||"43194916"|"17087924"
|"Nose Slope"|||"43194916"|"17087926"
|"Side Slope"|||"43194916"|"17087925"
|"Nose Slope"|||"43194915"|"17087923"
|"Side Slope"|||"43194915"|"17087922"
|"Head Slope"|||"43194914"|"17087921"
|"Side Slope"|||"43194914"|"17087920"
|"Interfluve"|||"43195103"|"17088209"
