0|0|0|15|53|91||"280144980"|"178581417"
15|53|91||||"Wet"|"280144980"|"178581418"
|||183|183|183||"280144981"|"178581419"
0|0|0|15|53|91||"280144981"|"178581420"
15|53|91||||"Wet"|"280144981"|"178581421"
0|0|0|15|53|91||"280145010"|"178581426"
15|53|91|121|152|183|"Wet"|"280145010"|"178581427"
0|0|0|15|53|91||"280145009"|"178581424"
15|53|91|121|152|183|"Wet"|"280145009"|"178581425"
0|0|0|15|53|91||"280145013"|"178581428"
15|53|91|121|152|183|"Wet"|"280145013"|"178581429"
0|0|0|15|53|91||"280145015"|"178581430"
15|53|91|121|152|183|"Wet"|"280145015"|"178581431"
0|0|0|15|53|91||"280145008"|"178581422"
15|53|91|121|152|183|"Wet"|"280145008"|"178581423"
0|0|0|15|53|91||"280145034"|"178581436"
15|53|91|121|152|183|"Wet"|"280145034"|"178581437"
0|0|0|15|53|91||"280145033"|"178581434"
15|53|91|121|152|183|"Wet"|"280145033"|"178581435"
0|0|0|15|53|91||"280145037"|"178581438"
15|53|91|121|152|183|"Wet"|"280145037"|"178581439"
0|0|0|15|53|91||"280145039"|"178581440"
15|53|91|121|152|183|"Wet"|"280145039"|"178581441"
0|0|0|15|53|91||"280145032"|"178581432"
15|53|91|121|152|183|"Wet"|"280145032"|"178581433"
|||183|183|183||"280145054"|"178581442"
0|0|0|15|53|91||"280145054"|"178581443"
15|53|91||||"Wet"|"280145054"|"178581444"
0|0|0|15|53|91||"280145055"|"178581446"
|||183|183|183||"280145055"|"178581445"
15|53|91||||"Wet"|"280145055"|"178581447"
|||183|183|183||"280145056"|"178581448"
0|0|0|15|53|91||"280145056"|"178581449"
15|53|91||||"Wet"|"280145056"|"178581450"
|||183|183|183||"280145064"|"178581451"
0|0|0|15|53|91||"280145064"|"178581452"
15|53|91||||"Wet"|"280145064"|"178581453"
|||183|183|183||"280145065"|"178581454"
0|0|0|15|53|91||"280145065"|"178581455"
15|53|91||||"Wet"|"280145065"|"178581456"
|||183|183|183||"280145114"|"178581457"
0|0|0|15|53|91||"280145114"|"178581458"
15|53|91||||"Wet"|"280145114"|"178581459"
|||183|183|183||"280145115"|"178581460"
0|0|0|15|53|91||"280145115"|"178581461"
15|53|91||||"Wet"|"280145115"|"178581462"
|||183|183|183||"280145116"|"178581463"
0|0|0|15|53|91||"280145116"|"178581464"
15|53|91||||"Wet"|"280145116"|"178581465"
|||183|183|183||"280145124"|"178581466"
0|0|0|15|53|91||"280145124"|"178581467"
15|53|91||||"Wet"|"280145124"|"178581468"
|||183|183|183||"280145125"|"178581469"
0|0|0|15|53|91||"280145125"|"178581470"
15|53|91||||"Wet"|"280145125"|"178581471"
0|0|0|15|53|91||"280145130"|"178581476"
15|53|91|121|152|183|"Wet"|"280145130"|"178581477"
0|0|0|15|53|91||"280145129"|"178581474"
15|53|91|121|152|183|"Wet"|"280145129"|"178581475"
0|0|0|15|53|91||"280145133"|"178581478"
15|53|91|121|152|183|"Wet"|"280145133"|"178581479"
0|0|0|15|53|91||"280145135"|"178581480"
15|53|91|121|152|183|"Wet"|"280145135"|"178581481"
0|0|0|15|53|91||"280145128"|"178581472"
15|53|91|121|152|183|"Wet"|"280145128"|"178581473"
|||183|183|183||"280145138"|"178581482"
0|0|0|46|69|91||"280145138"|"178581483"
46|69|91||||"Wet"|"280145138"|"178581484"
|||183|183|183||"280145139"|"178581485"
0|0|0|46|69|91||"280145139"|"178581486"
46|69|91||||"Wet"|"280145139"|"178581487"
|||183|183|183||"280145140"|"178581488"
0|0|0|46|69|91||"280145140"|"178581489"
46|69|91||||"Wet"|"280145140"|"178581490"
|||183|183|183||"280145148"|"178581491"
0|0|0|46|69|91||"280145148"|"178581492"
46|69|91||||"Wet"|"280145148"|"178581493"
|||183|183|183||"280145149"|"178581494"
0|0|0|46|69|91||"280145149"|"178581495"
46|69|91||||"Wet"|"280145149"|"178581496"
